# Frozen cross-slot object-relative target-binding census (backlog root cause
# #27: Puca's Mischief / Spawnbroker / Daring Thief).
#
# Generated by scripts/prior_target_binding_census.py --corpus --write from
# data/card-data.json. Do not hand-edit. See the script's module docstring
# for what each section measures and its stated scope limits.
#
# Columns: section <TAB> ... (varies by section, see docstring).
# Exact-match gate: an added, removed, or reclassified row fails until a
# human reviews it and re-freezes with --write.
#
narrowed	braids, arisen nightmare	target	Typed(ctrl=You,props=[SharesQuality])
narrowed	daring thief	target_b	Typed(ctrl=Opponent,props=[SharesQuality])
narrowed	puca's mischief	target_b	Typed(ctrl=Opponent,props=[Cmc])
narrowed	reins of the vinesteed	target	Typed(ctrl=None,props=[SharesQuality])
narrowed	saruman of many colors	target	Or
narrowed	spawnbroker	target_b	Typed(ctrl=Opponent,props=[PtComparison])
narrowed	spirit-sister's call	target	Typed(ctrl=You,props=[SharesQuality])
wide	battle myrsphere	target	Or
wide	blast of genius	target	Or
wide	braids, arisen nightmare	target	Typed(ctrl=You,props=[SharesQuality])
wide	cavalcade of calamity	target	Or
wide	cloak and dagger, entwined	target	Or
wide	daring thief	target_b	Typed(ctrl=Opponent,props=[SharesQuality])
wide	erratic explosion	target	Or
wide	explosive revelation	target	Or
wide	fathom fleet swordjack	target	Or
wide	hellrider	target	Or
wide	jodah, the unifier	target	And
wide	mage slayer	target	Or
wide	myr battlesphere	target	Or
wide	raid bombardment	target	Or
wide	rakdos roustabout	target	Or
wide	reins of the vinesteed	target	Typed(ctrl=None,props=[SharesQuality])
wide	riddle of lightning	target	Or
wide	ryan sinclair	target	And
wide	scorch spitter	target	Or
wide	spirit-sister's call	target	Typed(ctrl=You,props=[SharesQuality])
wide	the day of the doctor	target	And
composed	braids, arisen nightmare	target	Typed(ctrl=You,props=[SharesQuality])
composed	spirit-sister's call	target	Typed(ctrl=You,props=[SharesQuality])
perturbable_readers	(structural)	TargetDamageSourceBinding::Bound positional read (quantity.rs:6425-6430) is a ResolvedAbility-only runtime field, never present in exported AbilityDefinition JSON -- unmeasurable from this corpus.
exchange_control	arteeoh, dread scavenger	1	A	class1-plain-typed	Typed(ctrl=None,props=[Another])
exchange_control	arteeoh, dread scavenger	1	B	class1-plain-typed	Typed(ctrl=None,props=[Another])
exchange_control	avarice totem	1	A	selfref-skip	SelfRef
exchange_control	avarice totem	1	B	class1-plain-typed	Typed(ctrl=None,props=[])
exchange_control	burglar's plot	1	A	class3-symmetric-shares-quality	Typed(ctrl=None,props=[SharesQuality])
exchange_control	burglar's plot	1	B	class3-symmetric-shares-quality	Typed(ctrl=None,props=[SharesQuality])
exchange_control	chromeshell crab	1	A	class1-plain-typed	Typed(ctrl=You,props=[])
exchange_control	chromeshell crab	1	B	class1-plain-typed	Typed(ctrl=Opponent,props=[])
exchange_control	cliffside market	1	A	class3-symmetric-shares-quality	Typed(ctrl=None,props=[SharesQuality])
exchange_control	cliffside market	1	B	class3-symmetric-shares-quality	Typed(ctrl=None,props=[SharesQuality])
exchange_control	daring thief	1	A	class1-plain-typed	Typed(ctrl=You,props=[])
exchange_control	daring thief	1	B	class2-prior-target-relative	Typed(ctrl=Opponent,props=[SharesQuality])
exchange_control	djinn of infinite deceits	1	A	class1-plain-typed	Typed(ctrl=None,props=[NotSupertype])
exchange_control	djinn of infinite deceits	1	B	class1-plain-typed	Typed(ctrl=None,props=[NotSupertype])
exchange_control	eyes everywhere	1	A	selfref-skip	SelfRef
exchange_control	eyes everywhere	1	B	class1-plain-typed	Typed(ctrl=None,props=[])
exchange_control	gilded drake	1	A	selfref-skip	SelfRef
exchange_control	gilded drake	1	B	class1-plain-typed	Typed(ctrl=Opponent,props=[])
exchange_control	karona, false god avatar	1	A	class1-plain-typed	Typed(ctrl=You,props=[])
exchange_control	karona, false god avatar	1	B	class1-plain-typed	Typed(ctrl=TargetOpponent,props=[])
exchange_control	kitsune, dragon's daughter	1	A	class1-plain-typed	Typed(ctrl=None,props=[Another])
exchange_control	kitsune, dragon's daughter	1	B	class1-plain-typed	Typed(ctrl=None,props=[Another])
